"Name","SI","Handles","VM","WS","PM","NPM","Path","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","BasePriority","ExitCode","HasExited","ExitTime","Handle","SafeHandle","HandleCount","Id","MachineName","MainWindowHandle","MainWindowTitle","MainModule","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize","NonpagedSystemMemorySize64","PagedMemorySize","PagedMemorySize64","PagedSystemMemorySize","PagedSystemMemorySize64","PeakPagedMemorySize","PeakPagedMemorySize64","PeakWorkingSet","PeakWorkingSet64","PeakVirtualMemorySize","PeakVirtualMemorySize64","PriorityBoostEnabled","PriorityClass","PrivateMemorySize","PrivateMemorySize64","PrivilegedProcessorTime","ProcessName","ProcessorAffinity","Responding","SessionId","StartInfo","StartTime","SynchronizingObject","Threads","TotalProcessorTime","UserProcessorTime","VirtualMemorySize","VirtualMemorySize64","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet","WorkingSet64","Site","Container"
"System","0","3288","4583424","180224","36864","272",,,"295.109375",,,,,"Process","8",,,,,,"3288","4",".","0","",,,,,"272","272","36864","36864","0","0","315392","315392","966656","966656","4583424","2199027838976",,,"36864","36864","00:04:55.1406250","System",,"True","0","System.Diagnostics.ProcessStartInfo","12/10/2025 5:51:09 AM",,"System.Diagnostics.ProcessThreadCollection","00:04:55.1406250","00:00:00","4583424","4583424","False",,,,"180224","180224",,
"msedgewebview2","1","380","2307060334592","38830080","17342464","19512","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\143.0.3650.66\msedgewebview2.exe","Microsoft Corporation","285.296875","143.0.3650.66","143.0.3650.66","Microsoft Edge WebView2","Microsoft Edge WebView2","Process","10",,"False",,"3948","Microsoft.Win32.SafeHandles.SafeProcessHandle","380","7876",".","0","","System.Diagnostics.ProcessModule (msedgewebview2.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","19512","19512","17342464","17342464","879088","879088","17465344","17465344","46944256","46944256","695402496","2307092840448","True","AboveNormal","17342464","17342464","00:04:36.2656250","msedgewebview2","3","True","1","System.Diagnostics.ProcessStartInfo","12/10/2025 5:56:39 AM",,"System.Diagnostics.ProcessThreadCollection","00:04:45.2968750","00:00:09.0312500","662896640","2307060334592","False",,,,"38830080","38830080",,
"msedge","1","408","3766288543744","939106304","866660352","73256","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","Microsoft Corporation","249.59375","143.0.3650.75","143.0.3650.75","Microsoft Edge","Microsoft Edge","Process","8",,"False",,"3976","Microsoft.Win32.SafeHandles.SafeProcessHandle","408","9180",".","0","","System.Diagnostics.ProcessModule (msedge.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","73256","73256","866660352","866660352","997688","997688","886353920","886353920","963624960","963624960","-349032448","3766337286144","True","Normal","866660352","866660352","00:02:27.5781250","msedge","3","True","1","System.Diagnostics.ProcessStartInfo","12/10/2025 10:32:55 AM",,"System.Diagnostics.ProcessThreadCollection","00:04:09.6093750","00:01:42.0312500","-397774848","3766288543744","False",,,,"939106304","939106304",,
"dwm","1","1190","2203814293504","146071552","102633472","123104","C:\WINDOWS\system32\dwm.exe","Microsoft Corporation","209.65625","10.0.26100.1 (WinBuild.160101.0800)","10.0.26100.1","Desktop Window Manager","Microsoft? Windows? Operating System","Process","13",,"False",,"4012","Microsoft.Win32.SafeHandles.SafeProcessHandle","1190","352",".","0","","System.Diagnostics.ProcessModule (dwm.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","123104","123104","102633472","102633472","1131160","1131160","112734208","112734208","200908800","200908800","643604480","2203961827328","True","High","102633472","102633472","00:02:11.3281250","dwm","3","True","1","System.Diagnostics.ProcessStartInfo","12/10/2025 5:51:16 AM",,"System.Diagnostics.ProcessThreadCollection","00:03:29.6562500","00:01:18.3281250","496070656","2203814293504","False",,,,"146071552","146071552",,
"msedge","1","1887","2376341721088","264462336","150327296","70360","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","Microsoft Corporation","196.65625","143.0.3650.75","143.0.3650.75","Microsoft Edge","Microsoft Edge","Process","8",,"False",,"4048","Microsoft.Win32.SafeHandles.SafeProcessHandle","1887","8044",".","3146506","(67) WhatsApp and 1 more page - Personal - Microsoft? Edge","System.Diagnostics.ProcessModule (msedge.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","70360","70360","150327296","150327296","1377744","1377744","153407488","153407488","267730944","267730944","1268633600","2376385548288","True","Normal","150327296","150327296","00:02:14.6718750","msedge","3","True","1","System.Diagnostics.ProcessStartInfo","12/10/2025 7:52:09 AM",,"System.Diagnostics.ProcessThreadCollection","00:03:16.6718750","00:01:02","1224806400","2376341721088","False",,,,"264462336","264462336",,
"WindowsTerminal","1","849","2203767451648","95367168","28168192","32008","C:\Program Files\WindowsApps\Microsoft.WindowsTerminal_1.18.10301.0_x64__8wekyb3d8bbwe\WindowsTerminal.exe","Microsoft Corporation","184.984375","1.18.2401.30001","1.18.240130001","WindowsTerminal.exe","Windows Terminal","Process","8",,"False",,"4080","Microsoft.Win32.SafeHandles.SafeProcessHandle","849","7264",".","1442736","My Command Center ","System.Diagnostics.ProcessModule (WindowsTerminal.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","32008","32008","28168192","28168192","720400","720400","46088192","46088192","125018112","125018112","486842368","2203805065216","True","Normal","28168192","28168192","00:01:57.1718750","WindowsTerminal","3","True","1","System.Diagnostics.ProcessStartInfo","12/10/2025 6:17:09 AM",,"System.Diagnostics.ProcessThreadCollection","00:03:04.9843750","00:01:07.8125000","449228800","2203767451648","False",,,,"95367168","95367168",,
"msedgewebview2","1","267","3779765006336","58396672","98385920","27832","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\143.0.3650.66\msedgewebview2.exe","Microsoft Corporation","168.578125","143.0.3650.66","143.0.3650.66","Microsoft Edge WebView2","Microsoft Edge WebView2","Process","8",,"False",,"4108","Microsoft.Win32.SafeHandles.SafeProcessHandle","267","4800",".","0","","System.Diagnostics.ProcessModule (msedgewebview2.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","27832","27832","98385920","98385920","826920","826920","106823680","106823680","149884928","149884928","249790464","3779821010944","True","Normal","98385920","98385920","00:02:28.6406250","msedgewebview2","3","True","1","System.Diagnostics.ProcessStartInfo","12/10/2025 5:56:39 AM",,"System.Diagnostics.ProcessThreadCollection","00:02:48.5781250","00:00:19.9375000","193785856","3779765006336","False",,,,"58396672","58396672",,
"MsMpEng","0","812","2204520509440","186781696","292913152","225608",,,"100.203125",,,,,"Process","8",,,,,,"812","5512",".","0","",,,,,"225608","225608","292913152","292913152","835320","835320","1084309504","1084309504","1013813248","1013813248","-2029424640","2205583765504",,,"292913152","292913152","00:00:49.8125000","MsMpEng",,"True","0","System.Diagnostics.ProcessStartInfo","12/10/2025 6:01:52 AM",,"System.Diagnostics.ProcessThreadCollection","00:01:40.2031250","00:00:50.3906250","1202286592","2204520509440","False",,,,"186781696","186781696",,
"svchost","0","245","2207824269312","76005376","63705088","13944","C:\WINDOWS\system32\svchost.exe","Microsoft Corporation","84.484375","10.0.26100.1 (WinBuild.160101.0800)","10.0.26100.1","Host Process for Windows Services","Microsoft? Windows? Operating System","Process","8",,"False",,"4168","Microsoft.Win32.SafeHandles.SafeProcessHandle","245","1788",".","0","","System.Diagnostics.ProcessModule (svchost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","13944","13944","63705088","63705088","127504","127504","88276992","88276992","103854080","103854080","224575488","2207837765632","True","Normal","63705088","63705088","00:00:54.6093750","svchost","3","True","0","System.Diagnostics.ProcessStartInfo","12/10/2025 5:51:17 AM",,"System.Diagnostics.ProcessThreadCollection","00:01:24.4843750","00:00:29.8750000","211079168","2207824269312","False",,,,"76005376","76005376",,
"OneDrive","1","1057","2207138512896","118509568","56684544","59696","C:\Users\herli\AppData\Local\Microsoft\OneDrive\OneDrive.exe","Microsoft Corporation","78.765625","25.216.1104.0002","25.216.1104.0002","Microsoft OneDrive","Microsoft OneDrive","Process","8",,"False",,"4000","Microsoft.Win32.SafeHandles.SafeProcessHandle","1057","7620",".","0","","System.Diagnostics.ProcessModule (OneDrive.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","59696","59696","56684544","56684544","948520","948520","67530752","67530752","154808320","154808320","-464728064","2207148462080","True","Normal","56684544","56684544","00:00:45.9843750","OneDrive","3","True","1","System.Diagnostics.ProcessStartInfo","12/10/2025 5:51:56 AM",,"System.Diagnostics.ProcessThreadCollection","00:01:18.7656250","00:00:32.7812500","-474677248","2207138512896","False",,,,"118509568","118509568",,
"explorer","1","4793","2204295929856","304422912","153862144","128904","C:\WINDOWS\Explorer.EXE","Microsoft Corporation","64.5625","10.0.26100.1301 (WinBuild.160101.0800)","10.0.26100.1301","Windows Explorer","Microsoft? Windows? Operating System","Process","8",,"False",,"3016","Microsoft.Win32.SafeHandles.SafeProcessHandle","4793","4312",".","328794","","System.Diagnostics.ProcessModule (Explorer.EXE)","1413120","204800","System.Diagnostics.ProcessModuleCollection","128904","128904","153862144","153862144","2594576","2594576","188710912","188710912","379211776","379211776","1029328896","2204347551744","True","Normal","153862144","153862144","00:00:42.2343750","explorer","3","True","1","System.Diagnostics.ProcessStartInfo","12/10/2025 5:51:29 AM",,"System.Diagnostics.ProcessThreadCollection","00:01:04.5625000","00:00:22.3281250","977707008","2204295929856","False",,,,"304422912","304422912",,
"msedgewebview2","1","1235","2358972596224","113811456","41467904","45432","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\143.0.3650.66\msedgewebview2.exe","Microsoft Corporation","51.546875","143.0.3650.66","143.0.3650.66","Microsoft Edge WebView2","Microsoft Edge WebView2","Process","8",,"False",,"3036","Microsoft.Win32.SafeHandles.SafeProcessHandle","1235","2020",".","131772","windows.msn.com/app.html?locale=en-US&region=US&aver=525.31002.150.0&over=10.0.26200.7171.amd64fre.ge_release.240331-1435&fring=Retail&devicetype=0&smode=false&machineId=%7BBED1F373-F329-48FA-A147-428738CAA926%7D&clv=1.0&wprInstalled=true&usri=-2&wver=143.0.3650.66&renderWidget=true&useDeployedBundles=true&fullrefreshint=0","System.Diagnostics.ProcessModule (msedgewebview2.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","45432","45432","41467904","41467904","1188632","1188632","60645376","60645376","147353600","147353600","1151299584","2359088345088","True","Normal","41467904","41467904","00:00:35.7812500","msedgewebview2","3","True","1","System.Diagnostics.ProcessStartInfo","12/10/2025 5:56:38 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:51.5468750","00:00:15.7656250","1035550720","2358972596224","False",,,,"113811456","113811456",,
"ctfmon","1","584","2203511341056","37937152","8200192","22712","C:\WINDOWS\system32\ctfmon.exe","Microsoft Corporation","17.171875","10.0.26100.1 (WinBuild.160101.0800)","10.0.26100.1","CTF Loader","Microsoft? Windows? Operating System","Process","13",,"False",,"3656","Microsoft.Win32.SafeHandles.SafeProcessHandle","584","7004",".","0","","System.Diagnostics.ProcessModule (ctfmon.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","22712","22712","8200192","8200192","304496","304496","8372224","8372224","39677952","39677952","195158016","2203513380864","True","High","8200192","8200192","00:00:13.2812500","ctfmon","3","True","1","System.Diagnostics.ProcessStartInfo","12/10/2025 5:51:44 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:17.1718750","00:00:03.8906250","193118208","2203511341056","False",,,,"37937152","37937152",,
"svchost","0","819","2203586412544","57020416","31776768","28296","C:\WINDOWS\System32\svchost.exe","Microsoft Corporation","17.078125","10.0.26100.1 (WinBuild.160101.0800)","10.0.26100.1","Host Process for Windows Services","Microsoft? Windows? Operating System","Process","8",,"False",,"3068","Microsoft.Win32.SafeHandles.SafeProcessHandle","819","2848",".","0","","System.Diagnostics.ProcessModule (svchost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","28296","28296","31776768","31776768","300064","300064","73216000","73216000","115453952","115453952","371392512","2203689615360","True","Normal","31776768","31776768","00:00:09.8437500","svchost","3","True","0","System.Diagnostics.ProcessStartInfo","12/10/2025 5:51:19 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:17.0781250","00:00:07.2343750","268189696","2203586412544","False",,,,"57020416","57020416",,
"SearchHost","1","1428","2238346997760","144576512","48181248","60880","C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\SearchHost.exe","Microsoft Corporation","16.375","2125.27506.20.0","2125.27506.20.0","","Microsoft? Windows? Operating System","Process","8",,"False",,"3668","Microsoft.Win32.SafeHandles.SafeProcessHandle","1428","5464",".","0","","System.Diagnostics.ProcessModule (SearchHost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","60880","60880","48181248","48181248","1766576","1766576","51105792","51105792","157724672","157724672","694185984","2238372147200","True","Normal","48181248","48181248","00:00:10.5625000","SearchHost","3","True","1","System.Diagnostics.ProcessStartInfo","12/10/2025 5:51:34 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:16.3750000","00:00:05.8125000","669036544","2238346997760","False",,,,"144576512","144576512",,
"csrss","1","523","2203432992768","7622656","2113536","21264",,,"16.140625",,,,,"Process","13",,,,,,"523","668",".","0","",,,,,"21264","21264","2113536","2113536","196568","196568","2531328","2531328","10489856","10489856","117395456","2203435618304",,,"2113536","2113536","00:00:15.8750000","csrss",,"True","1","System.Diagnostics.ProcessStartInfo","12/10/2025 5:51:14 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:16.1406250","00:00:00.2656250","114769920","2203432992768","False",,,,"7622656","7622656",,
"msedgewebview2","1","323","3764380983296","117051392","73621504","29768","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\143.0.3650.66\msedgewebview2.exe","Microsoft Corporation","15.953125","143.0.3650.66","143.0.3650.66","Microsoft Edge WebView2","Microsoft Edge WebView2","Process","4",,"False",,"3684","Microsoft.Win32.SafeHandles.SafeProcessHandle","323","6292",".","0","","System.Diagnostics.ProcessModule (msedgewebview2.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","29768","29768","73621504","73621504","860800","860800","102981632","102981632","153223168","153223168","2010255360","3764401606656","True","Idle","73621504","73621504","00:00:09.5625000","msedgewebview2","3","True","1","System.Diagnostics.ProcessStartInfo","12/10/2025 5:51:40 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:15.9531250","00:00:06.3906250","1989632000","3764380983296","False",,,,"117051392","117051392",,
"svchost","0","1193","2203415990272","17248256","7036928","19248","C:\WINDOWS\system32\svchost.exe","Microsoft Corporation","13.578125","10.0.26100.1 (WinBuild.160101.0800)","10.0.26100.1","Host Process for Windows Services","Microsoft? Windows? Operating System","Process","8",,"False",,"3128","Microsoft.Win32.SafeHandles.SafeProcessHandle","1193","524",".","0","","System.Diagnostics.ProcessModule (svchost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","19248","19248","7036928","7036928","161928","161928","7696384","7696384","18579456","18579456","107401216","2203425624064","True","Normal","7036928","7036928","00:00:08.2187500","svchost","3","True","0","System.Diagnostics.ProcessStartInfo","12/10/2025 5:51:15 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:13.5781250","00:00:05.3593750","97767424","2203415990272","False",,,,"17248256","17248256",,
