"Id","ProcessName","CPU","WorkingSet"
"4","System","295.109375","180224"
"7876","msedgewebview2","285.296875","38830080"
"9180","msedge","249.59375","939106304"
"352","dwm","209.65625","146071552"
"8044","msedge","196.34375","262737920"
"7264","WindowsTerminal","184.984375","95367168"
"4800","msedgewebview2","168.5625","58396672"
"5512","MsMpEng","100.078125","186560512"
"1788","svchost","84.484375","76005376"
"7620","OneDrive","78.765625","118509568"
"4312","explorer","64.5625","304422912"
"2020","msedgewebview2","51.546875","113811456"
"7004","ctfmon","17.171875","37937152"
"2848","svchost","17.078125","57020416"
"5464","SearchHost","16.375","144576512"
"668","csrss","16.140625","7622656"
"6292","msedgewebview2","15.953125","117051392"
"524","svchost","13.578125","17248256"
"2792","msedge","12.71875","48779264"
"5996","msedgewebview2","11.484375","129875968"
"940","svchost","10.953125","41721856"
"2868","svchost","10.890625","24801280"
"1996","Memory Compression","10.453125","184594432"
"2316","svchost","9.640625","20987904"
"5492","StartMenuExperienceHost","8.921875","133222400"
"812","lsass","7.53125","29114368"
"4064","svchost","7.484375","26771456"
"3300","sihost","6.484375","49819648"
"880","svchost","5.375","26890240"
"792","services","4.984375","10215424"
"1616","msedge","4.96875","56463360"
"5672","SearchIndexer","4.859375","30830592"
"6260","msedgewebview2","4.109375","41275392"
"1728","svchost","3.9375","17629184"
"860","powershell","3.828125","86523904"
"7600","SystemSettings","3.6875","1867776"
"3448","svchost","3.296875","20910080"
"9072","msedge","3","110264320"
"100","Registry","2.734375","66478080"
"1468","svchost","2.734375","19615744"
"2952","svchost","2.6875","17342464"
"4488","MpDefenderCoreService","2.625","25460736"
"1312","svchost","2.5625","16371712"
"2676","svchost","2.4375","19623936"
"1512","svchost","2.421875","22663168"
"6896","svchost","2.03125","26828800"
"1028","svchost","1.90625","24793088"
"2492","ApplicationFrameHost","1.828125","43880448"
"7436","svchost","1.75","14569472"
"6200","msedgewebview2","1.703125","45752320"
"5840","Widgets","1.640625","61562880"
"5360","svchost","1.625","27738112"
"584","csrss","1.515625","7155712"
"544","svchost","1.5","13512704"
"1852","ShellExperienceHost","1.5","67137536"
"7272","SecurityHealthService","1.46875","23666688"
"7412","msedgewebview2","1.328125","39145472"
"908","svchost","1.28125","41115648"
